,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
33155,20027,KHBG,medium_airport,Hattiesburg Bobby L Chain Municipal Airport,31.26479912,-89.25279999,151.0,,US,US-MS,Hattiesburg,no,KHBG,HBG,HBG,,https://en.wikipedia.org/wiki/Hattiesburg_Bobby_L._Chain_Municipal_Airport,
33157,20029,KHBR,medium_airport,Hobart Regional Airport,34.991317,-99.051313,1563.0,,US,US-OK,Hobart,no,KHBR,HBR,HBR,,https://en.wikipedia.org/wiki/Hobart_Regional_Airport,
33161,338330,KHCA,closed,Howard County Municipal Airport,32.30407,-101.43528,2555.0,,US,US-TX,Big Spring,no,KHCA,HCA,,,,
33165,20036,KHDE,small_airport,Brewster Field,40.452099,-99.336502,2313.0,,US,US-NE,Holdrege,no,KHDE,HDE,HDE,,,
33167,20038,KHDN,small_airport,Yampa Valley Airport,40.48120117,-107.2180023,6606.0,,US,US-CO,Hayden,no,KHDN,HDN,HDN,,https://en.wikipedia.org/wiki/Yampa_Valley_Airport,
33169,20040,KHEE,small_airport,Thompson-Robbins Airport,34.576571,-90.67616,242.0,,US,US-AR,Helena/West Helena,no,KHEE,HEE,HEE,http://www.fly.arkansas.gov/Airports/Helena/HELENA%20_%20WEST%20HELENA.pdf,https://en.wikipedia.org/wiki/Thompson%E2%80%93Robbins_Airport,
33170,20041,KHEF,small_airport,Manassas Regional Airport/Harry P. Davis Field,38.72140121,-77.51540375,192.0,,US,US-VA,Manassas,no,KHEF,MNZ,HEF,http://www.manassascity.org/Index.aspx?NID=131,https://en.wikipedia.org/wiki/Manassas_Regional_Airport,
33174,20045,KHEZ,small_airport,Hardy-Anders Field / Natchez-Adams County Airport,31.613738,-91.297313,272.0,,US,US-MS,Natchez,no,KHEZ,HEZ,HEZ,https://www.adamscountyms.net/natchez-adams-county-airport,https://en.wikipedia.org/wiki/Natchez%E2%80%93Adams_County_Airport,
33175,3576,KHFD,medium_airport,Hartford Brainard Airport,41.736698150635,-72.649398803711,18.0,,US,US-CT,Hartford,no,KHFD,HFD,HFD,,https://en.wikipedia.org/wiki/Hartford-Brainard_Airport,
33176,20046,KHFF,small_airport,Mackall Army Air Field,35.036288,-79.497755,376.0,,US,US-NC,Camp Mackall,no,KHFF,HFF,HFF,,https://en.wikipedia.org/wiki/Camp_Mackall,Canp Hoffman
33179,3577,KHGR,medium_airport,Hagerstown Regional Richard A Henson Field,39.707901,-77.72949982,703.0,,US,US-MD,Hagerstown,no,KHGR,HGR,HGR,,https://en.wikipedia.org/wiki/Hagerstown_Regional_Airport,
33182,3578,KHHR,medium_airport,Jack Northrop Field Hawthorne Municipal Airport,33.922798,-118.334999,66.0,,US,US-CA,Hawthorne,no,KHHR,HHR,HHR,,https://en.wikipedia.org/wiki/Hawthorne_Municipal_Airport_(California),
33183,20050,KHHW,small_airport,Stan Stamper Municipal Airport,34.03480148,-95.54190063,572.0,,US,US-OK,Hugo,no,KHHW,HUJ,HHW,,https://en.wikipedia.org/wiki/Stan_Stamper_Municipal_Airport,
33184,3579,KHIB,large_airport,Range Regional Airport,47.38660049,-92.83899689,1354.0,,US,US-MN,Hibbing,yes,KHIB,HIB,HIB,,https://en.wikipedia.org/wiki/Range_Regional_Airport,Chisholm Hibbing Airport
